Nombre,Asignar,Estado,Fecha de entrega,Seleccionado,Tipo de página,URL
Sobre mi / About / Quienes somos,,Sin empezar,,Sí,Estático,
Política de cookies,,Sin empezar,,Sí,Estático,
Galería,,Sin empezar,,Sí,Dinámico,
Inicio (Home),,Sin empezar,11 de diciembre de 2030,Sí,Estático,
Proyectos/clientes/trabajos/Portfolio,,Sin empezar,,Sí,Dinámico,
"Aviso legal ",,Sin empezar,,Sí,Estático,
Política de privacidad,,Sin empezar,,Sí,Estático,
Contacto,,Sin empezar,11 de diciembre de 2030,Sí,Estático,
Experiencias,,Sin empezar,,No,Estático,
Servicios,,Sin empezar,,Sí,Estático,
Tienda,,Sin empezar,,Sí,Dinámico,
Términos y condiciones,,Sin empezar,,Sí,Estático,
Blog,,Sin empezar,,Sí,Dinámico,
Landing page (PROMO),,Sin empezar,,Sí,Estático,
Testimonios,,Sin empezar,,Sí,Element,